transaction_time,window,is_workday,day_of_week,time_slot
2019-04-15 06:30:00,2nd canteen,1,0,78
2019-04-15 06:31:00,5th canteen,1,0,78
2019-04-15 06:33:00,2nd canteen,1,0,78
2019-04-15 06:33:00,5th canteen,1,0,78
2019-04-15 06:34:00,2nd canteen,1,0,78
2019-04-15 06:34:00,5th canteen,1,0,78
2019-04-15 06:34:00,2nd canteen,1,0,78
2019-04-15 06:34:00,5th canteen,1,0,78
2019-04-15 06:34:00,2nd canteen,1,0,78
2019-04-15 06:35:00,5th canteen,1,0,79
2019-04-15 06:35:00,5th canteen,1,0,79
2019-04-15 06:35:00,5th canteen,1,0,79
2019-04-15 06:35:00,2nd canteen,1,0,79
2019-04-15 06:36:00,2nd canteen,1,0,79
2019-04-15 06:36:00,2nd canteen,1,0,79
2019-04-15 06:37:00,2nd canteen,1,0,79
2019-04-15 06:37:00,2nd canteen,1,0,79
2019-04-15 06:37:00,5th canteen,1,0,79
2019-04-15 06:38:00,2nd canteen,1,0,79
2019-04-15 06:39:00,5th canteen,1,0,79
2019-04-15 06:39:00,2nd canteen,1,0,79
2019-04-15 06:40:00,2nd canteen,1,0,80
2019-04-15 06:41:00,2nd canteen,1,0,80
2019-04-15 06:42:00,5th canteen,1,0,80
2019-04-15 06:42:00,5th canteen,1,0,80
2019-04-15 06:42:00,5th canteen,1,0,80
2019-04-15 06:42:00,5th canteen,1,0,80
2019-04-15 06:42:00,5th canteen,1,0,80
2019-04-15 06:43:00,2nd canteen,1,0,80
2019-04-15 06:44:00,2nd canteen,1,0,80
2019-04-15 06:44:00,2nd canteen,1,0,80
2019-04-15 06:44:00,2nd canteen,1,0,80
2019-04-15 06:46:00,5th canteen,1,0,81
2019-04-15 06:46:00,2nd canteen,1,0,81
2019-04-15 06:46:00,2nd canteen,1,0,81
2019-04-15 06:46:00,2nd canteen,1,0,81
2019-04-15 06:46:00,2nd canteen,1,0,81
2019-04-15 06:46:00,2nd canteen,1,0,81
2019-04-15 06:46:00,2nd canteen,1,0,81
2019-04-15 06:46:00,5th canteen,1,0,81
2019-04-15 06:48:00,5th canteen,1,0,81
2019-04-15 06:48:00,2nd canteen,1,0,81
2019-04-15 06:49:00,5th canteen,1,0,81
2019-04-15 06:49:00,2nd canteen,1,0,81
2019-04-15 06:49:00,2nd canteen,1,0,81
2019-04-15 06:49:00,5th canteen,1,0,81
2019-04-15 06:50:00,2nd canteen,1,0,82
2019-04-15 06:50:00,5th canteen,1,0,82
