====================================================================================================
Detailed Report of 2019-04-30
====================================================================================================

Time Slot    Time Period          True         Predicted    Error        MSE          MAE         
----------------------------------------------------------------------------------------------------
0            00:00-00:04          0            5            5            21.34        5           
1            00:05-00:09          0            9            9            81.99        9           
2            00:10-00:14          0            4            4            13.02        4           
3            00:15-00:19          0            2            2            2.27         2           
4            00:20-00:24          0            1            1            1.79         1           
5            00:25-00:29          0            1            1            1.99         1           
6            00:30-00:34          0            1            1            1.79         1           
7            00:35-00:39          0            1            1            1.43         1           
8            00:40-00:44          0            1            1            1.19         1           
9            00:45-00:49          0            1            1            1.14         1           
10           00:50-00:54          0            1            1            1.29         1           
11           00:55-00:59          0            1            1            1.56         1           
12           01:00-01:04          0            2            2            2.95         2           
13           01:05-01:09          0            2            2            3.32         2           
14           01:10-01:14          0            2            2            3.74         2           
15           01:15-01:19          0            2            2            4.10         2           
16           01:20-01:24          0            2            2            4.39         2           
17           01:25-01:29          0            2            2            4.61         2           
18           01:30-01:34          0            2            2            4.78         2           
19           01:35-01:39          0            2            2            4.91         2           
20           01:40-01:44          0            2            2            5.01         2           
21           01:45-01:49          0            2            2            5.10         2           
22           01:50-01:54          0            2            2            5.19         2           
23           01:55-01:59          0            2            2            5.30         2           
24           02:00-02:04          0            2            2            5.42         2           
25           02:05-02:09          0            2            2            5.57         2           
26           02:10-02:14          0            2            2            5.75         2           
27           02:15-02:19          0            2            2            5.96         2           
28           02:20-02:24          0            2            2            6.19         2           
29           02:25-02:29          0            3            3            6.42         3           
30           02:30-02:34          0            3            3            6.62         3           
31           02:35-02:39          0            3            3            6.77         3           
32           02:40-02:44          0            3            3            6.85         3           
33           02:45-02:49          0            3            3            6.88         3           
34           02:50-02:54          0            3            3            6.85         3           
35           02:55-02:59          0            3            3            6.78         3           
36           03:00-03:04          0            3            3            6.66         3           
37           03:05-03:09          0            3            3            6.51         3           
38           03:10-03:14          0            3            3            6.34         3           
39           03:15-03:19          0            2            2            6.14         2           
40           03:20-03:24          0            2            2            5.92         2           
41           03:25-03:29          0            2            2            5.69         2           
42           03:30-03:34          0            2            2            5.44         2           
43           03:35-03:39          0            2            2            5.17         2           
44           03:40-03:44          0            2            2            4.89         2           
45           03:45-03:49          0            2            2            4.61         2           
46           03:50-03:54          0            2            2            4.32         2           
47           03:55-03:59          0            2            2            4.02         2           
48           04:00-04:04          0            2            2            3.72         2           
49           04:05-04:09          0            2            2            3.43         2           
50           04:10-04:14          0            2            2            3.13         2           
51           04:15-04:19          0            2            2            2.85         2           
52           04:20-04:24          0            2            2            2.57         2           
53           04:25-04:29          0            2            2            2.30         2           
54           04:30-04:34          0            1            1            2.05         1           
55           04:35-04:39          0            1            1            1.81         1           
56           04:40-04:44          0            1            1            1.59         1           
57           04:45-04:49          0            1            1            1.39         1           
58           04:50-04:54          0            1            1            1.21         1           
59           04:55-04:59          0            1            1            1.06         1           
